company_id,type,rule_id,text,confidence_pct
ULTRACEMCO,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
INDIGO,Pro,PRO_5,Operating profit margin above 25% indicates strong pricing power.,91
SBILIFE,Pro,PRO_11,"Revenue growth exceeds profit growth, indicating sustained business expansion.",85
TCS,Pro,PRO_11,"Revenue growth exceeds profit growth, indicating sustained business expansion.",85
WIPRO,Pro,PRO_11,"Revenue growth exceeds profit growth, indicating sustained business expansion.",85
HDFCBANK,Pro,PRO_11,"Revenue growth exceeds profit growth, indicating sustained business expansion.",85
INFY,Pro,PRO_11,"Revenue growth exceeds profit growth, indicating sustained business expansion.",85
ADANIENSOL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ADANIENT,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ADANIGREEN,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ADANIPORTS,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ADANIPOWER,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
AMBUJACEM,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
APOLLOHOSP,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ASIANPAINT,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BAJAJ-AUTO,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
AXISBANK,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BAJAJFINSV,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BAJAJHLDNG,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BANKBARODA,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BHARTIARTL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BEL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BHEL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BOSCHLTD,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BPCL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
BRITANNIA,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
CANBK,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
CIPLA,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
COALINDIA,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
DABUR,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
DIVISLAB,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
DLF,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
DMART,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
DRREDDY,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
EICHERMOT,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
GAIL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
GODREJCP,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
GRASIM,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
HAL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
HAVELLS,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
HCLTECH,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
HDFCBANK,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
HDFCLIFE,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
HEROMOTOCO,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
HINDALCO,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
HINDUNILVR,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ICICIBANK,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ICICIGI,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ICICIPRULI,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
INDUSINDBK,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
INFY,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
IOC,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
IRCTC,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
IRFC,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ITC,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
JINDALSTEL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
JIOFIN,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
JSWENERGY,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
JSWSTEEL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
KOTAKBANK,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
LICI,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
LODHA,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
LT,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
LTIM,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
M&M,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
MARUTI,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
MOTHERSON,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
NAUKRI,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
NESTLEIND,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
NHPC,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
NTPC,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ONGC,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
PFC,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
PIDILITIND,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
PNB,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
POWERGRID,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
RECLTD,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
RELIANCE,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
SBILIFE,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
SHREECEM,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
SIEMENS,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
SUNPHARMA,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TATACONSUM,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TATAMOTORS,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TATAPOWER,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TATASTEEL,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TCS,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TECHM,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TITAN,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TORNTPHARM,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TRENT,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
TVSMOTOR,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ULTRACEMCO,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
UNIONBANK,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
INDIGO,Pro,PRO_2,Positive cash flow from operations indicates healthy business fundamentals.,90
ADANIENSOL,Pro,PRO_3,Debt-free balance sheet provides financial flexibility.,93
BAJAJHLDNG,Pro,PRO_3,Debt-free balance sheet provides financial flexibility.,93
